id;numero_factura;fecha_emision;tipo_pago;fecha_vencimiento;decripcion;subtotal;total;importe_pagado;importe_a_pagar
1;7251;2022-01-30T20:06:05;compressing de Loan;2022-01-30T16:31:36;Berkshire;38049;39532;23235;82912
2;19803;2022-01-31T09:25:14;feed Violeta;2022-01-31T07:33:49;Joyería;38068;29537;9552;48457
3;6064;2022-01-31T09:48:50;óptima Genérico Cambridgeshire;2022-01-30T12:14:13;back-end schemas Persistente;53504;90587;23770;57635
4;36214;2022-01-30T12:47:58;Lithuanian Calle program;2022-01-30T20:22:21;Bedfordshire;99658;11716;22553;31826
5;43873;2022-01-31T07:36:26;Granito;2022-01-30T16:52:49;monitorizar de Soluciones;74746;94472;59320;25442
6;23147;2022-01-31T05:06:06;payment direccional;2022-01-31T02:57:37;transparent;93343;60579;31921;55298
7;77456;2022-01-30T18:47:05;mano mesh;2022-01-30T16:59:42;Dinar Jefe niches;81628;75925;73453;81004
8;31893;2022-01-31T11:18:41;experiences Colonia;2022-01-30T18:02:35;Totalmente;42534;30022;5437;66170
9;23095;2022-01-31T01:55:27;withdrawal value-added Diverso;2022-01-31T05:05:10;Namibia Desarrollador International;32085;201;63441;2478
10;29795;2022-01-31T06:07:05;Extendido functionalities;2022-01-31T05:58:28;Madera Andalucía;22569;89500;38871;79067
