id;numero_receta;fecha_emision;fecha_vencimiento;descripcion
1;35637;2022-01-30T16:47:36;2022-01-31T10:17:51;Informática
2;72258;2022-01-31T08:15:34;2022-01-31T04:31:09;payment
3;89757;2022-01-30T16:14:43;2022-01-30T16:27:37;syndicate
4;9161;2022-01-31T00:36:05;2022-01-30T19:31:53;parse SDD Papelería
5;79955;2022-01-31T06:03:35;2022-01-31T09:37:47;global Productor Informática
6;84584;2022-01-30T20:34:04;2022-01-30T18:02:21;Enfocado calculate quantifying
7;57708;2022-01-30T23:06:39;2022-01-31T10:13:05;mano Fantástico Hormigon
8;59548;2022-01-30T22:18:40;2022-01-30T15:29:21;Hogar Violeta Bedfordshire
9;98869;2022-01-31T08:53:17;2022-01-30T19:27:38;Algodón
10;30309;2022-01-30T17:34:38;2022-01-31T02:57:40;auxiliary connect Reducido
